Geo Point,Official Name Suburb
"-26.353067992340776, 151.65749197104128",Wilkesdale
"-27.59665198327464, 153.00686521110143",Willawong
"-20.709910610637845, 139.49771867483523",Winston
"-26.150280730956588, 152.8253867283734",Wolvi
"-25.679065849600768, 151.57853162873462",Woodmillar
"-27.45023535325363, 151.91935074525057",Woolmer
"-27.872729799373104, 152.7702714267859",Woolooman
"-26.786053730378608, 152.80577269746667",Wootha
"-27.50325804120711, 148.60265343120125",Wycombe
"-23.127401435643584, 150.34856445056022",Yaamba
"-27.652695553092315, 152.74056076743892",Yamanto
"-16.99455246253799, 145.89716111780186",Yarrabah
"-35.016938804425, 138.73989608422812",Aldgate
"-33.69162544826644, 139.08520503780085",Baldina
"-32.949933100638674, 138.1600512965158",Bangor (SA)
"-33.745514105551585, 138.62098018045845",Barinia
"-34.06677416346745, 139.29320726854738",Bower
"-33.65055931729145, 135.0282846695077",Bramfield
"-34.04893137024618, 135.8538106570958",Brooker
"-34.93007399728734, 138.54472700867055",Brooklyn Park
"-33.74642729654471, 138.5652611760609",Bungaree (SA)
"-33.17665050083918, 138.78620242123216",Canowie Belt
"-37.70509347653044, 140.29045767940718",Canunda
"-35.98736802693131, 139.48189682573238",Coorong
"-34.932525765652365, 138.55684191395034",Cowandilla
"-35.57793650523374, 138.21006836441117",Delamere (SA)
"-34.8661986157836, 139.3950139187373",Five Miles
"-34.60266002054639, 138.76433503222296",Gawler East
"-34.844175827250496, 138.49079008923349",Glanville
"-37.8277547113526, 140.9080464888252",Glenburnie
"-34.94272781041217, 138.6337250830402",Glenside
"-35.4847063077194, 138.8087061838763",Goolwa North
"-34.082781212754604, 138.26765562749628",Goyder
"-35.07656326754678, 138.5757699590816",Happy Valley (SA)
"-33.75712253143844, 138.47279275796498",Hart (SA)
"-35.02839257706181, 138.71705959513648",Heathfield
"-36.95413671205337, 140.9021765706828",Hynam
"-34.97133173341461, 138.669733567042",Leawood Gardens
"-30.590429960648958, 138.37975941050766",Leigh Creek (SA)
"-34.24828193874824, 136.17021948571687",Lipson
"-35.510589938682685, 139.51570998093004",Malinong
"-34.14021326753868, 138.87827505034312",Marrabel
"-32.81156052681185, 138.19232187529263",Melrose (SA)
"-34.98524965124629, 138.5787465092714",Melrose Park (SA)
"-35.17276132480819, 139.12620110131473",Monarto South
"-33.44040118152293, 139.02949722831502",Mount Bryan East
"-35.36152928919883, 138.59770697197663",Mount Compass
"-37.828422286592264, 140.78035997719172",Mount Gambier
"-34.667494457279595, 138.68964904902282",Munno Para
"-32.918621367246274, 138.24440249399782",Murray Town
"-35.40403153987158, 138.47306034598174",Myponga
"-35.14087314451179, 138.4961623995703",Noarlunga Centre
"-30.960780008896275, 131.80839388920873",Nullarbor
"-35.055874510891336, 138.55425179040267",O'Halloran Hill
"-35.12110134834328, 138.47629003594548",O'Sullivan Beach
"-32.409810442701556, 137.367466859357",Pandurra
"-34.177165596087946, 140.7847230766151",Paringa
"-34.75151633122635, 137.4797294013681",Parsons Beach
"-34.34986138811213, 137.8440025498471",Petersville
"-35.08403421596947, 138.9581618893671",Petwood
"-34.426938863923276, 138.6169021746237",Pinkerton Plains
"-36.869593326605816, 139.82057784252245",Pinks Beach
"-33.82337447020432, 138.87718521630117",Porter Lagoon
"-34.19451079408352, 139.90813137765022",Ramco Heights
"-34.21206703664619, 140.72187623421053",Renmark South
"-34.93863757522562, 138.56212694831632",Richmond (SA)
"-35.33401615925873, 138.484959878197",Sellicks Hill
"-34.87085964618079, 138.53533993446655",St Clair (SA)
"-34.50046044488829, 138.95652687553496",Stone Well
"-35.02278020437618, 138.55464829579185",Sturt (SA)
"-34.95910458565718, 138.72533253318846",Summertown
"-34.1451890097523, 137.82937250192373",Sunnyvale
"-34.96468933425625, 139.20160791852874",Tepko
"-34.915248675583825, 138.57245131423056",Thebarton
"-34.18519041165588, 136.01916813743443",Ungarra
"-34.48766009352031, 138.69115852816074",Wasleys
"-27.03047071478416, 129.8994286090668",Watarru
"-35.326643869384476, 139.32520757182937",Wellington (SA)
"-33.72086758797478, 138.0481672082754",Wokurna
"-31.465201389894986, 131.80812494252802",Yalata
"-34.44817103444336, 137.68676340767854",Yorke Valley
"-32.31510691849754, 117.26898692105956",Aldersyde
"-33.669179309037894, 115.16912303745818",Anniebrook
"-29.559131342115606, 115.10974078825106",Arrowsmith
"-30.732745654017698, 116.01211568532389",Barberton
"-34.237961935498745, 115.73633310739922",Biddelia
"-17.91344172706787, 122.22730204993887",Bilingurr
"-30.441374076956844, 118.38799634397596",Bonnie Rock
"-34.92311359539599, 116.44497384989039",Broke (WA)
"-33.63317148683226, 115.89604828263067",Brookhampton
"-31.351134074664934, 115.54591171244361",Caraban
"-32.119106522556955, 115.98622247914162",Champion Lakes
"-31.935606461709764, 115.76559048956318",City Beach
"-26.747449860498136, 114.33355743213889",Coburn
"-28.54107620594979, 118.16893779158153",Cooladar Hill
"-31.951453123462557, 115.80986400850215",Daglish
"-20.23975998988937, 119.22580253882698",De Grey
"-31.833034385358193, 115.77639570157169",Duncraig
"-30.560502935297812, 116.90409868220046",East Ballidu
"-31.291997097527872, 115.5059974010441",Gabbadah
